,Reason 1,Reason 2,Reason 3,Reason 4,Month,Weekday,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
0,0,0,0,1,July,Tuesday,289,36,33,239.554,30,0,2,1,4
1,0,0,0,0,July,Tuesday,118,13,50,239.554,31,0,1,0,0
2,0,0,0,1,July,Wednesday,179,51,38,239.554,31,0,0,0,2
3,1,0,0,0,July,Thursday,279,5,39,239.554,24,0,2,0,4
4,0,0,0,1,July,Thursday,289,36,33,239.554,30,0,2,1,2
5,0,0,0,1,July,Friday,179,51,38,239.554,31,0,0,0,2
6,0,0,0,1,July,Friday,361,52,28,239.554,27,0,1,4,8
7,0,0,0,1,July,Friday,260,50,36,239.554,23,0,4,0,4
8,0,0,1,0,July,Monday,155,12,34,239.554,25,0,2,0,40
9,0,0,0,1,July,Monday,235,11,37,239.554,29,1,1,1,8
10,1,0,0,0,July,Monday,260,50,36,239.554,23,0,4,0,8
11,1,0,0,0,July,Tuesday,260,50,36,239.554,23,0,4,0,8
12,1,0,0,0,July,Wednesday,260,50,36,239.554,23,0,4,0,8
13,1,0,0,0,July,Wednesday,179,51,38,239.554,31,0,0,0,1
14,0,0,0,1,July,Wednesday,179,51,38,239.554,31,0,0,0,4
15,1,0,0,0,July,Friday,246,25,41,239.554,23,0,0,0,8
16,0,0,0,1,July,Friday,179,51,38,239.554,31,0,0,0,2
17,0,0,1,0,July,Monday,179,51,38,239.554,31,0,0,0,8
18,1,0,0,0,July,Thursday,189,29,33,239.554,25,0,2,2,8
19,0,0,0,1,August,Wednesday,248,25,47,205.917,32,0,2,1,2
20,1,0,0,0,August,Wednesday,330,16,28,205.917,25,1,0,0,8
21,1,0,0,0,August,Monday,179,51,38,205.917,31,0,0,0,1
22,1,0,0,0,August,Monday,361,52,28,205.917,27,0,1,4,40
23,0,0,0,1,August,Friday,260,50,36,205.917,23,0,4,0,4
24,0,0,1,0,August,Monday,289,36,33,205.917,30,0,2,1,8
25,0,0,0,1,August,Monday,361,52,28,205.917,27,0,1,4,7
26,0,0,0,1,August,Tuesday,289,36,33,205.917,30,0,2,1,1
27,0,0,0,1,August,Wednesday,157,27,29,205.917,22,0,0,0,4
28,0,0,1,0,August,Wednesday,289,36,33,205.917,30,0,2,1,8
29,0,0,0,1,August,Friday,179,51,38,205.917,31,0,0,0,2
30,0,0,1,0,August,Monday,179,51,38,205.917,31,0,0,0,8
31,0,0,1,0,August,Thursday,235,29,48,205.917,33,0,1,5,8
32,0,0,0,1,August,Thursday,235,11,37,205.917,29,1,1,1,4
33,0,0,1,0,August,Monday,235,29,48,205.917,33,0,1,5,8
34,0,0,0,1,August,Monday,179,51,38,205.917,31,0,0,0,2
35,0,0,0,1,August,Monday,361,52,28,205.917,27,0,1,4,1
36,0,0,0,1,August,Tuesday,289,36,33,205.917,30,0,2,1,8
37,1,0,0,0,August,Thursday,291,50,32,205.917,23,0,0,0,4
38,0,0,0,1,August,Friday,235,29,48,205.917,33,0,1,5,8
39,0,0,0,1,August,Friday,260,50,36,205.917,23,0,4,0,4
40,0,0,0,1,September,Tuesday,184,42,27,241.476,21,0,0,0,2
41,0,0,0,1,September,Monday,118,10,37,241.476,28,0,0,0,4
42,0,0,0,1,September,Tuesday,179,51,38,241.476,31,0,0,0,4
43,0,0,1,0,September,Tuesday,235,20,43,241.476,38,0,1,0,8
44,0,0,0,1,September,Wednesday,155,12,34,241.476,25,0,2,0,2
45,0,0,0,1,September,Sunday,118,10,37,241.476,28,0,0,0,3
46,0,0,0,1,September,Monday,179,51,38,241.476,31,0,0,0,3
47,0,0,0,1,September,Thursday,291,31,40,241.476,25,0,1,1,4
48,0,0,0,1,September,Friday,260,50,36,241.476,23,0,4,0,8
49,1,0,0,0,September,Monday,291,31,40,241.476,25,0,1,1,32
50,0,0,0,0,September,Monday,260,50,36,241.476,23,0,4,0,0
